gene_symbol,entrez_id,marker_annotation,expression_level,V1_pattern,V2_pattern
CACNA1E,777,layer 2,+++,"layer 2/3,6","layer 2/3,6"
CACNA1E,777,layer 3,+++,"layer 2/3,6","layer 2/3,6"
CACNA1E,777,layer 3,+++,"layer 2/3,6","layer 2/3,6"
CACNA1E,777,layer 3,+++,"layer 2/3,6","layer 2/3,6"
CACNA1E,777,layer 6,+++,"layer 2/3,6","layer 2/3,6"
CACNA1E,777,layer 6,+++,"layer 2/3,6","layer 2/3,6"
CACNA1E,777,layer 6,+++,"layer 2/3,6","layer 2/3,6"
CACNA1F,778,NA,++,scattered,scattered
CACNA1G,8913,NA,+++,"layer 2/3,4C,5/6",ubiquitous
CACNA1I,8911,NA,+++,"layer 2/3,4C,5/6",ubiquitous
CACNA1S,779,NA,+,ubiquitous,ubiquitous
CACNA2D1,781,NA,++,ubiquitous,ubiquitous
CACNA2D2,9254,interneuron,++++,scattered,scattered
CACNA2D3,55799,NA,+++,ubiquitous,ubiquitous
CACNA2D4,93589,NA,+,ubiquitous,ubiquitous
CACNB1,782,NA,+++,ubiquitous,ubiquitous
CACNB3,784,NA,++++,ubiquitous,ubiquitous
CACNB4,785,NA,+++,ubiquitous,ubiquitous
CACNG1,786,NA,-,none,none
CACNG2,10369,NA,+++,ubiquitous,ubiquitous
CACNG3,10368,NA,++,"layer 2/3,5/6","layer 2/3,5,6"
CACNG4,27092,NA,+,ubiquitous,ubiquitous
CACNG5,27091,layer 4,++,layer 4C,ubiquitous
CACNG6,59285,NA,+++++,ubiquitous,ubiquitous
CACNG7,59284,NA,+++,ubiquitous,ubiquitous
CACNG8,59283,NA,++++,ubiquitous,ubiquitous
CADPS2,93664,NA,+++++,"layer 2/3,4C,5/6",ubiquitous
CALB1,793,interneuron,++++,scattered(2/3),scattered(2/3)
CALB1,793,interneuron,++++,scattered(2/3),scattered(2/3)
CALB1,793,layer 2,++++,scattered(2/3),scattered(2/3)
CALB1,793,layer 2,++++,scattered(2/3),scattered(2/3)
CALB2,794,interneuron,+++++,scattered(2/3),scattered(2/3)
CALY,50632,NA,+++++,ubiquitous+oligodendrocyte,ubiquitous+oligodendrocyte
CAMK2A,815,NA,+++++,ubiquitous,ubiquitous
CAMK4,814,NA,+++,"layer 2/3,6",ubiquitous(6)
CAMKK2,10645,NA,+++++,"ubiquitous(2/3,5/6)",ubiquitous
CARTPT,9607,layer 2,++++,layer 2(/3)+sparse(6),layer 2(/3)
CARTPT,9607,layer 2,++++,layer 2(/3)+sparse(6),layer 2(/3)
CARTPT,9607,layer 3,++++,layer 2(/3)+sparse(6),layer 2(/3)
CARTPT,9607,layer 3,++++,layer 2(/3)+sparse(6),layer 2(/3)
CASP1,834,NA,+,ubiquitous,ubiquitous
CASP3,836,NA,+,ubiquitous,ubiquitous
