gene_symbol,entrez_id,marker_annotation,expression_level,V1_pattern,V2_pattern
LAYN,143903,NA,+,ubiquitous,ubiquitous
LDLR,3949,NA,++,ubiquitous,ubiquitous
LEPR,3953,NA,+++,scattered,scattered
LGALS1,3956,layer 3,++++,scattered+layer 5/6,"layer 3,5/6"
LGALS1,3956,layer 3,++++,scattered+layer 5/6,"layer 3,5/6"
LGALS1,3956,layer 5,++++,scattered+layer 5/6,"layer 3,5/6"
LGALS1,3956,layer 5,++++,scattered+layer 5/6,"layer 3,5/6"
LGI1,9211,NA,+++,"ubiquitous(4c,6)",ubiquitous(6)
LGI2,55203,interneuron,++++,scattered,scattered
LGI3,203190,NA,+++++,"scattered(3,5)+ubiquitous","scattered(3,5)+ubiquitous"
LGR4,55366,NA,-,none,none
LGR5,8549,NA,-,none,none
LGR6,59352,NA,+,ubiquitous(6),ubiquitous(6)
LHX1,3975,NA,+,ubiquitous,ubiquitous
LHX6,26468,interneuron,+++,scattered,scattered
LIG4,3981,NA,+,ubiquitous,ubiquitous
LSP1P5,645166,NA,+++,"ubiquitous(2/3,5/6)","ubiquitous(2/3,5/6)"
LOC727820,727820,NA,+++,ubiquitous,ubiquitous
LOC727983,727983,NA,++,ubiquitous,ubiquitous
ARHGEF34P,728377,NA,+++,ubiquitous,ubiquitous
LRP1,4035,NA,++++,ubiquitous,ubiquitous
LRP2,4036,NA,++,sparse,sparse
LRP8,7804,NA,++++,scattered,scattered
LRRC1,55227,NA,+,ubiquitous,ubiquitous
LRRC15,131578,NA,++,ubiquitous,ubiquitous
LRRK2,120892,NA,+++,layer 4C+scattered(2/3),scattered(2/3)
LRRN3,54674,NA,+++,"ubiquitous(2/3,6)",ubiquitous
LSAMP,4045,NA,++++,scattered+ubiquitous,scattered+ubiquitous
LXN,56925,NA,++,sparse(6),sparse(6)
LYNX1,66004,NA,+++++,scattered+ubiquitous,scattered+ubiquitous
LYPD1,116372,interneuron,++++,"scattered(2/3,5/6)","scattered(2/3,5,6)"
LYPD6,130574,NA,++,scattered+ubiquitous,scattered+ubiquitous
MAD1L1,8379,NA,++,ubiquitous,ubiquitous
MAFB,9935,interneuron,+++,scattered+ubiquitous,scattered+ubiquitous
MAOA,4128,NA,NA,N/A,sparse to none
MAOB,4129,NA,++++,layer 5/6,"ubiquitous(5,6)"
MAP1A,4130,NA,+++++,scattered+ubiquitous,scattered+ubiquitous
MAPK1,5594,NA,++++,"ubiquitous(2/3,5/6)","ubiquitous(2/3,5,6)"
MAPK10,5602,NA,+++++,ubiquitous,ubiquitous
MAPT,4137,NA,+++++,ubiquitous,ubiquitous
MARCKSL1,65108,NA,+++++,scattered+ubiquitous,scattered+ubiquitous
MBP,4155,oligodendrocyte,+++++,oligodendrocyte,oligodendrocyte
MC1R,4157,NA,+,ubiquitous,ubiquitous
MC2R,4158,NA,-,none,none
MC3R,4159,NA,-,none,none
MC5R,4161,NA,+,ubiquitous,ubiquitous
MCHR1,2847,NA,++,ubiquitous,ubiquitous
MCHR2,84539,NA,+++,"ubiquitous(2/3,5/6)","ubiquitous(2,3,6)"
MCM7,4176,NA,++,ubiquitous,ubiquitous
MCPH1,79648,NA,++,ubiquitous,ubiquitous
MECP2,4204,NA,++++,ubiquitous,ubiquitous
MEPCE,56257,NA,++++,ubiquitous,ubiquitous
MET,4233,NA,+++++,ubiquitous+oligodendrocyte,ubiquitous+oligodendrocyte
MFGE8,4240,layer 3,+++,scattered,layer 3
MME,4311,NA,++,layer 6,ubiquitous
MOBP,4336,oligodendrocyte,+++++,oligodendrocyte,oligodendrocyte
MOG,4340,oligodendrocyte,+++++,"scattered,oligodendrocyte","scattered,oligodendrocyte"
MPDZ,8777,NA,++,ubiquitous,ubiquitous
MTDH,92140,NA,+++,ubiquitous,ubiquitous
MYBPC1,4604,interneuron,+++,scattered(5/6),"scattered(5,6)"
MYL4,4635,NA,++,ubiquitous,ubiquitous
NAIP,4671,NA,+++,ubiquitous,ubiquitous
NBN,4683,NA,+++,ubiquitous,ubiquitous
NBPF14,25832,NA,++++,ubiquitous,ubiquitous
NBPF3,84224,NA,++++,ubiquitous,ubiquitous
NCAM1,4684,NA,+++++,ubiquitous,ubiquitous
NCAN,1463,NA,++++,ubiquitous(1),ubiquitous(1)
NDE1,54820,NA,++++,"scattered,oligodendrocyte","scattered,oligodendrocyte"
NDEL1,81565,NA,++++,ubiquitous,ubiquitous
NEFH,4744,NA,+++++,scattered+ubiquitous,layer 3+scattered
NEFL,4747,NA,+++++,scattered+ubiquitous,ubiquitous
NEFM,4741,NA,+++++,"scattered+ubiquitous(2/3,6)+glial","scattered+ubiquitous(2/3,5/6)+glial"
NEK2,4751,NA,-,none,none
NETO2,81831,NA,+,sparse to none,sparse to none
NGF,4803,NA,+,ubiquitous,ubiquitous
NGFR,4804,NA,+,sparse to none,sparse to none
NHEJ1,79840,NA,+,ubiquitous,ubiquitous
NLGN1,22871,NA,+++,"ubiquitous(2/3,4C,5/6)",ubiquitous
NLGN2,57555,NA,+++,ubiquitous,ubiquitous
NLGN3,54413,NA,+++,scattered+ubiquitous,scattered+ubiquitous
NLGN4X,57502,NA,++,ubiquitous,ubiquitous
NMB,4828,NA,++++,ubiquitous,ubiquitous
NNAT,4826,NA,+++++,"ubquitous(2/3,(4C),5/6)","ubquitous(2,3,5,6)"
NOS1,4842,interneuron,+++++,sparse+scattered,sparse+scattered
CCN3,4856,NA,+,ubiquitous,ubiquitous
NPAS1,4861,interneuron,+++,scattered,scattered
NPAS3,64067,interneuron,+++,scattered,scattered
NPAS3,64067,interneuron,+++,scattered,scattered
NPAS3,64067,astrocyte,+++,scattered,scattered
NPAS3,64067,astrocyte,+++,scattered,scattered
NPBWR2,2832,NA,+,ubiquitous,ubiquitous
NPIPB3,23117,NA,+++++,ubiquitous,ubiquitous
NPR3,4883,NA,+++,sparse,sparse
NPSR1,387129,NA,-,none,none
NPVF,64111,NA,-,none,none
NPY,4852,interneuron,+++++,sparse,sparse
NPY1R,4886,NA,+++,"layer 6(2/3,5)","layer 2(/3),5,6"
NPY2R,4887,layer 6,+++,layer 6,none
NPY5R,4889,NA,+,ubiquitous,ubiquitous
NR2F2,7026,NA,++,scattered,scattered
NR3C1,2908,NA,++++,"ubiquitous(2/3,5/6)",ubiquitous
NR4A2,4929,layer 6,+++++,layer 6(b),layer 6(b)
NR4A2,4929,layer 6,+++++,layer 6(b),layer 6(b)
NR4A2,4929,layer 6,+++++,layer 6(b),layer 6(b)
NR4A2,4929,layer 6,+++++,layer 6(b),layer 6(b)
NRCAM,4897,NA,+++++,"ubiquitous(2/3,4C,5/6)",ubiquitous
NRG1,3084,NA,+,ubiquitous,ubiquitous
NRIP3,56675,interneuron,++++,scattered,scattered
NRXN1,9378,NA,+++,ubiquitous(5/6),ubiquitous
NTF3,4908,NA,-,none,none
NTNG2,84628,layer 6,+++++,"layer 6(4C,5)",layer 6
NTRK2,4915,NA,+++++,ubiquitous,ubiquitous
NTRK3,4916,NA,++++,"ubiquitous(2/3,5/6)",ubiquitous
NTS,4922,NA,-,none,none
NTSR2,23620,NA,+,ubiquitous,ubiquitous
NUDT4,11163,NA,+++++,ubiquitous+oligodendrocyte,ubiquitous+oligodendrocyte
NXPH1,30010,interneuron,+++,scattered,scattered
OMG,4974,NA,++,"ubiquitous(2/3,4C,5/6)",ubiquitous
OPHN1,4983,NA,+++,scattered+ubiquitous,scattered+ubiquitous
OPRD1,4985,NA,+,scattered+ubiquitous,scattered+ubiquitous
OPRK1,4986,layer 6,+++,layer 6+scattered,layer 6+scattered
OPRL1,4987,NA,++,ubiquitous,ubiquitous
OPRM1,4988,NA,+,sparse to none,sparse to none
OXT,5020,NA,-,none,none
OXTR,5021,NA,+,ubiquitous,ubiquitous
PAFAH1B1,5048,NA,+++++,ubiquitous,ubiquitous
PAIP1,10605,NA,+++,ubiquitous,ubiquitous
PAK2,5062,NA,+++,scattered+ubiquitous,scattered+ubiquitous
PAK3,5063,NA,+++,"layer 2/3,4C,5/6",ubiquitous
PRKN,5071,NA,+++,ubiquitous,ubiquitous
PARK7,11315,NA,+++++,scattered+ubiquitous,scattered+ubiquitous
PARM1,25849,NA,+++++,"scattered+ubiquitous(2/3,4C)",scattered+ubiquitous(4)
PAX6,5080,NA,++,scattered,scattered
PCDH17,27253,layer 6,++++,layer 6,layer 6
PCDH18,54510,interneuron,+++,scattered,scattered
PCDH20,64881,layer 5,++,layer 5/6+scattered,scattered(6)
PCDH20,64881,layer 5,++,layer 5/6+scattered,scattered(6)
PCDH20,64881,layer 6,++,layer 5/6+scattered,scattered(6)
PCDH20,64881,layer 6,++,layer 5/6+scattered,scattered(6)
PCDHA6,56142,NA,++,scattered+ubiquitous,scattered+ubiquitous
PCNT,5116,NA,+++++,ubiquitous(6),ubiquitous
PCP4,5121,layer 5,+++++,"layer 4C(4),5/6","layer 5,6(3)"
PCP4,5121,layer 5,+++++,"layer 4C(4),5/6","layer 5,6(3)"
PCP4,5121,layer 6,+++++,"layer 4C(4),5/6","layer 5,6(3)"
PCP4,5121,layer 6,+++++,"layer 4C(4),5/6","layer 5,6(3)"
PDE10A,10846,NA,++,scattered+ubiquitous,scattered+ubiquitous
PDE1A,5136,layer 5,++++,"layer 4C,5/6","layer 5,6"
PDE1A,5136,layer 5,++++,"layer 4C,5/6","layer 5,6"
PDE1A,5136,layer 6,++++,"layer 4C,5/6","layer 5,6"
PDE1A,5136,layer 6,++++,"layer 4C,5/6","layer 5,6"
PDE4B,5142,NA,+++,ubiquitous,ubiquitous
PDE4DIP,9659,NA,+++++,scattered+ubiquitous,scattered+ubiquitous
PDE5A,8654,NA,+,ubiquitous,ubiquitous
PDHX,8050,NA,+++,ubiquitous,ubiquitous
PDLIM5,10611,NA,+,ubiquitous,ubiquitous
PDYN,5173,interneuron,++++,layer 4C+scattered,ubiquitous(4/5s?)
PDYN,5173,interneuron,++++,layer 4C+scattered,ubiquitous(4/5s?)
PDYN,5173,layer 4,++++,layer 4C+scattered,ubiquitous(4/5s?)
PDYN,5173,layer 4,++++,layer 4C+scattered,ubiquitous(4/5s?)
PEG3,5178,NA,+++++,ubiquitous,ubiquitous
PENK,5179,layer 2,+++++,"layer 2/3,6+scattered",layer 2/3+sparse(6)
PENK,5179,layer 2,+++++,"layer 2/3,6+scattered",layer 2/3+sparse(6)
PENK,5179,layer 2,+++++,"layer 2/3,6+scattered",layer 2/3+sparse(6)
PENK,5179,layer 3,+++++,"layer 2/3,6+scattered",layer 2/3+sparse(6)
PENK,5179,layer 3,+++++,"layer 2/3,6+scattered",layer 2/3+sparse(6)
PENK,5179,layer 3,+++++,"layer 2/3,6+scattered",layer 2/3+sparse(6)
PENK,5179,layer 6,+++++,"layer 2/3,6+scattered",layer 2/3+sparse(6)
PENK,5179,layer 6,+++++,"layer 2/3,6+scattered",layer 2/3+sparse(6)
PENK,5179,layer 6,+++++,"layer 2/3,6+scattered",layer 2/3+sparse(6)
PHF8,23133,NA,+++,ubiquitous,ubiquitous
PHGDH,26227,NA,NA,N/A,ubiquitous
PIK3CB,5291,NA,+++,"ubiquitous(2/3,5/6)",ubiquitous
PIK3CG,5294,NA,-,none,none
PINK1,65018,NA,+++++,scattered+ubiquitous,scattered+ubiquitous
PLAU,5328,NA,+,ubiquitous,ubiquitous
PLAUR,5329,NA,++,ubiquitous,ubiquitous
PLTP,5360,vascular endothelial cell,++,scattered+VEC,scattered+VEC
PLXNA2,5362,NA,++++,"ubiquitous(2/3,4C,5/6)",ubiquitous
PLXND1,23129,NA,+++,"ubiquitous(2/3,4)","ubiquitous(2,3,4)"
PMCH,5367,NA,-,none,none
PNOC,5368,interneuron,++++,scattered,scattered
POM121,9883,NA,+++++,ubiquitous,ubiquitous
POMT1,10585,NA,++++,ubiquitous,ubiquitous
PLPP3,8613,astrocyte,++++,"scattered(1,2/3,5/6)+glial","scattered(1,2/3,5/6)+glial"
PPP1R1B,84152,NA,+++,"ubiquitous(2/3,4C,5/6)",ubiquitous
PPP3CA,5530,NA,+++++,"ubiquitous(2/3,(4C,6))",ubiquitous
PPP3CB,5532,NA,+++,"ubiquitous(2/3,4C,5/6)","ubiquitous(2/3,5/6)"
PPP3CC,5533,NA,+,ubiquitous,ubiquitous
PQBP1,10084,NA,+++,ubiquitous,ubiquitous
PRKCB,5579,NA,+++++,ubiquitous,ubiquitous
PRKCG,5582,NA,++++,"layer 2,5/6","layer 2,5,6"
PRLH,51052,NA,++++,ubiquitous,ubiquitous
PRLHR,2834,NA,++,scattered,scattered
PRODH,5625,astrocyte,+++++,scattered,scattered
PRSS12,8492,layer 3,++,"sparse(3,4)","sparse(3,4)"
PRSS12,8492,layer 3,++,"sparse(3,4)","sparse(3,4)"
PRSS12,8492,layer 4,++,"sparse(3,4)","sparse(3,4)"
PRSS12,8492,layer 4,++,"sparse(3,4)","sparse(3,4)"
PRSS23,11098,NA,+,sparse to none,sparse to none
PSEN1,5663,NA,+++,scattered+ubiquitous,scattered+ubiquitous
PSEN2,5664,NA,++,ubiquitous,ubiquitous
PTEN,5728,NA,+++,"ubiquitous(4C,6)",ubiquitous(4)
PTGS2,5743,NA,+++,"scattered(2/3,6)","scattered(2/3,6)"
PTHLH,5744,interneuron,++++,scattered,scattered
PVALB,5816,interneuron,+++++,scattered,scattered
NECTIN3,25945,layer 2,+++,ubiquitous(2/3),ubiquitous(2/3)
NECTIN3,25945,layer 2,+++,ubiquitous(2/3),ubiquitous(2/3)
NECTIN3,25945,layer 3,+++,ubiquitous(2/3),ubiquitous(2/3)
NECTIN3,25945,layer 3,+++,ubiquitous(2/3),ubiquitous(2/3)
QDPR,5860,oligodendrocyte,+++++,scattered+ubiquitous+oligodendrocyte,scattered+ubiquitous+oligodendrocyte
QRFPR,84109,NA,-,none,sparse to none
RAB3B,5865,NA,+++++,ubiquitous+oligodendrocyte,ubiquitous+oligodendrocyte
RAB3C,115827,NA,++++,"scattered+ubiquitous(2/3,4C,5/6)",scattered+ubiquitous
RAB3GAP1,22930,NA,+++,"ubiquitous(2/3,6)",ubiquitous
RAB3IP,117177,NA,+++,scattered,scattered
RAB6A,5870,NA,+++++,scattered+ubiquitous,scattered+ubiquitous
RANBP9,10048,NA,+++,ubiquitous,ubiquitous
RAPGEF4,11069,NA,++++,"scattered+ubiquitous(2/3,4C,5/6)",ubiquitous
RASGRF2,5924,layer 2,++++,layer 2/3+scattered,layer 2/3+scattered
RASGRF2,5924,layer 2,++++,layer 2/3+scattered,layer 2/3+scattered
RASGRF2,5924,layer 3,++++,layer 2/3+scattered,layer 2/3+scattered
RASGRF2,5924,layer 3,++++,layer 2/3+scattered,layer 2/3+scattered
RASSF7,8045,NA,+++,ubiquitous,ubiquitous
RELN,5649,interneuron,+++++,layer 1+scattered,layer 1+scattered
RELN,5649,interneuron,+++++,layer 1+scattered,layer 1+scattered
RELN,5649,layer 1,+++++,layer 1+scattered,layer 1+scattered
RELN,5649,layer 1,+++++,layer 1+scattered,layer 1+scattered
REST,5978,NA,+,ubiquitous,ubiquitous
RGS10,6001,NA,+,ubiquitous,ubiquitous
RGS4,5999,NA,+++++,"layer 2/3,5/6","layer 2/3,5,6"
RNASEH2A,10535,NA,+,ubiquitous,ubiquitous
RNASEH2B,79621,NA,-,none,none
RNASEH2C,84153,NA,+,ubiquitous,ubiquitous
RND2,8153,NA,++,scattered+ubiquitous,scattered+ubiquitous
RNF144B,255488,interneuron,+++,scattered,scattered
ROCK1,6093,NA,++,ubiquitous,ubiquitous
RORB,6096,layer 4,++++,"layer 3,4,5","layer 3,4,5"
RPRM,56475,layer 5,++++,"ubiquitous(4C,5/6)","ubiquitous(5,6)"
RPRM,56475,layer 5,++++,"ubiquitous(4C,5/6)","ubiquitous(5,6)"
RPRM,56475,layer 6,++++,"ubiquitous(4C,5/6)","ubiquitous(5,6)"
RPRM,56475,layer 6,++++,"ubiquitous(4C,5/6)","ubiquitous(5,6)"
RPS6KA3,6197,NA,+,ubiquitous,ubiquitous
RRP8,23378,NA,++,ubiquitous,ubiquitous
RSPO1,284654,NA,++,scattered+ubiquitous,scattered+ubiquitous
RTN4,57142,NA,+++++,"ubiquitous(2/3,5/6)",ubiquitous
RTN4R,65078,NA,++++,ubiquitous,ubiquitous
RXFP1,59350,layer 5,++++,layer 5/6(4C),"layer 5,6"
RXFP1,59350,layer 5,++++,layer 5/6(4C),"layer 5,6"
RXFP1,59350,layer 6,++++,layer 5/6(4C),"layer 5,6"
RXFP1,59350,layer 6,++++,layer 5/6(4C),"layer 5,6"
RXFP3,51289,NA,+,ubiquitous,ubiquitous
RXFP4,339403,NA,+++++,ubiquitous+oligodendrocyte,ubiquitous+oligodendrocyte
S100A10,6281,NA,+,ubiquitous,ubiquitous
S100B,6285,oligodendrocyte,+++++,"scattered(5/6),oligodendrocyte","scattered(5/6),oligodendrocyte"
SCN10A,6336,NA,-,none,none
SCN11A,11280,NA,+,ubiquitous,ubiquitous
SCN1A,6323,NA,+++++,ubiquitous,"ubiquitous(3,(5,6))"
SCN1B,6324,NA,+++++,scattered+ubiquitous,ubiquitous(3)
SCN2A,6326,NA,+++,"layer 2/3,4C,5/6",ubiquitous
SCN2B,6327,NA,++++,ubiquitous,ubiquitous
SCN3A,6328,NA,-,none,none
SCN3B,55800,layer 2,++++,"layer 2/3,6","layer 2/3,6"
SCN3B,55800,layer 2,++++,"layer 2/3,6","layer 2/3,6"
SCN3B,55800,layer 2,++++,"layer 2/3,6","layer 2/3,6"
SCN3B,55800,layer 3,++++,"layer 2/3,6","layer 2/3,6"
SCN3B,55800,layer 3,++++,"layer 2/3,6","layer 2/3,6"
SCN3B,55800,layer 3,++++,"layer 2/3,6","layer 2/3,6"
SCN3B,55800,layer 6,++++,"layer 2/3,6","layer 2/3,6"
SCN3B,55800,layer 6,++++,"layer 2/3,6","layer 2/3,6"
SCN3B,55800,layer 6,++++,"layer 2/3,6","layer 2/3,6"
SCN4A,6329,NA,++,ubiquitous,ubiquitous
SCN4B,6330,layer 3,+++++,"layer 3,4,5","layer 3,5"
SCN4B,6330,layer 3,+++++,"layer 3,4,5","layer 3,5"
SCN4B,6330,layer 5,+++++,"layer 3,4,5","layer 3,5"
SCN4B,6330,layer 5,+++++,"layer 3,4,5","layer 3,5"
SCN5A,6331,NA,+,ubiquitous,ubiquitous
SCN7A,6332,NA,-,none,none
SCN8A,6334,NA,+++,ubiquitous,ubiquitous
SCN9A,6335,NA,-,none,none
SCNN1A,6337,NA,+,ubiquitous,ubiquitous
SCNN1B,6338,NA,-,none,none
SCNN1D,6339,NA,++++,ubiquitous,ubiquitous
SCNN1G,6340,NA,+,ubiquitous,ubiquitous
SCRT1,83482,NA,+++++,scattered+ubiquitous,scattered+ubiquitous
SDK1,221935,NA,+++,scattered+ubiquitous,scattered+ubiquitous
SEMA3C,10512,interneuron,+++,"layer 2/3,6","layer 2/3,6"
SEMA3C,10512,interneuron,+++,"layer 2/3,6","layer 2/3,6"
SEMA3C,10512,layer 6,+++,"layer 2/3,6","layer 2/3,6"
SEMA3C,10512,layer 6,+++,"layer 2/3,6","layer 2/3,6"
SEMA3F,6405,NA,+,ubiquitous,ubiquitous
SEMA4G,57715,NA,++,scattered,scattered
SEMA5B,54437,NA,+++,"scattered(2/3,5,6)","scattered(2/3,5,6)"
SERF1A,8293,NA,+++++,ubiquitous+oligodendrocyte,ubiquitous+oligodendrocyte
SGK1,6446,NA,++,scattered+ubiquitous,scattered+ubiquitous
SLA,6503,NA,+,ubiquitous,ubiquitous
SLC17A7,57030,NA,+++++,"ubiquitous(2/3,4C,5/6)",ubiquitous
SLC17A8,246213,NA,++++,sparse or scattered(5/6),sparse or scattered(5/6)
SLC18A1,6570,NA,+,sparse to none,sparse to none
SLC18A2,6571,NA,+,ubiquitous,ubiquitous
SLC18A3,6572,NA,+,ubiquitous,ubiquitous
SLC1A1,6505,NA,+++,"ubiquitous(2/3,6)",ubiquitous
SLC1A2,6506,astrocyte,+++++,scattered+glial,scattered+glial
SLC1A3,6507,astrocyte,++++,scattered+glial,scattered+glial
SLC1A4,6509,NA,++,ubiquitous,ubiquitous
SLC1A5,6510,NA,++,ubiquitous,ubiquitous
SLC1A6,6511,NA,++,ubiquitous,ubiquitous
SLC1A7,6512,NA,+,ubiquitous,ubiquitous
SLC20A1,6574,NA,++++,ubiquitous,ubiquitous
SLC23A3,151295,NA,+,sparse to none,sparse to none
SLC24A3,57419,NA,+++,scattered,scattered
SLC25A22,79751,NA,++++,ubiquitous,ubiquitous
SLC2A1,6513,vascular endothelial cell,++++,VEC,VEC
SLC32A1,140679,interneuron,+++++,scattered,scattered
SLC6A1,6529,interneuron,+++++,scattered,scattered
SLC6A11,6538,NA,++,scattered,scattered
SLC6A12,6539,interneuron,++++,scattered,scattered
SLC6A13,6540,interneuron,++++,scattered,scattered
SLC6A14,11254,NA,-,none,none
SLC6A2,6530,NA,-,none,none
SLC6A3,6531,NA,+,sparse to none,sparse to none
SLC6A4,6532,NA,-,none,none
SLC6A7,6534,NA,++++,ubquitous,ubquitous
SLC6A8,6535,NA,+++,scattered+ubiquitous,scattered+ubiquitous
GUSBP14,11039,NA,+++++,ubiquitous+oligodendrocyte,ubiquitous+oligodendrocyte
SMAD1,4086,NA,-,none,none
SMS,6611,NA,++++,"ubiquitous(2/3,4C,5/6)",ubiquitous
SNAP23,8773,NA,+++++,ubiquitous+oligodendrocyte,ubiquitous+oligodendrocyte
SNAP25,6616,NA,+++++,ubiquitous,ubiquitous
SNAP29,9342,NA,++,ubiquitous,ubiquitous
SNAP91,9892,NA,++++,"ubiquitous(2/3,4C,5/6)",ubiquitous
SNAPIN,23557,NA,++,ubiquitous,ubiquitous
SNCA,6622,NA,+++++,"layer 2/3,(4C),5/6","ubiquitous(5,6)"
SNCAIP,9627,NA,+++,layer 4C+scattered,scattered+ubiquitous
SNCB,6620,NA,+++++,ubiquitous,ubiquitous
SNCG,6623,layer 3,+++++,scattered,"scattered(3,5/6+)"
SNCG,6623,layer 3,+++++,scattered,"scattered(3,5/6+)"
SNCG,6623,layer 5,+++++,scattered,"scattered(3,5/6+)"
SNCG,6623,layer 5,+++++,scattered,"scattered(3,5/6+)"
SNPH,9751,NA,++++,scattered+ubiquitous,scattered+ubiquitous
SNTA1,6640,NA,++,ubiquitous,ubiquitous
SNTB1,6641,layer 6,+++,layer 6,sparse 6
SNTB2,6645,NA,+++,"layer 2/3,6","layer 2/3,6"
SNTG1,54212,NA,+++,scattered,scattered
SNTG2,54221,NA,-,none,none
SNX3,8724,NA,++++,ubiquitous,ubiquitous
SOD1,6647,NA,+++++,scattered+ubiquitous,ubiquitous
SORL1,6653,NA,+++++,scattered+ubiquitous,scattered+ubiquitous
SPARC,6678,NA,+++,scattered+VEC,scattered+VEC
SPP1,6696,oligodendrocyte,+++++,"scattered,oligodendrocyte","scattered,oligodendrocyte"
SPTBN4,57731,NA,++++,ubiquitous,ubiquitous
SPTLC1,10558,NA,++,ubiquitous,ubiquitous
SRP9,6726,NA,-,none,none
SST,6750,interneuron,+++++,"scattered(2/3,5/6)",scattered
SSTR1,6751,NA,++,ubiquitous(4C),"ubiquitous(2,6)"
SSTR3,6753,NA,+++,ubiquitous,ubiquitous
SSTR4,6754,NA,-,none,none
STARD8,9754,NA,+,scattered,scattered
STEAP2,261729,NA,+++,ubiquitous,ubiquitous
STRN,6801,NA,+,ubiquitous,ubiquitous
STX10,8677,NA,++,ubiquitous,ubiquitous
STX11,8676,NA,++,ubiquitous,ubiquitous
STX12,23673,NA,++,ubiquitous,ubiquitous
STX16,8675,NA,++++,ubiquitous,ubiquitous
STX17,55014,NA,+,ubiquitous,ubiquitous
STX18,53407,NA,++,ubiquitous,ubiquitous
STX19,415117,NA,-,none,none
STX1B,112755,NA,+++++,ubiquitous,ubiquitous
STX2,2054,NA,+++++,ubiquitous+oligodendrocyte,ubiquitous+oligodendrocyte
STX3,6809,NA,+++,ubiquitous,ubiquitous
STX4,6810,NA,++,ubiquitous,ubiquitous
STX5,6811,NA,+++,ubiquitous,ubiquitous
STX6,10228,NA,+++,ubiquitous,ubiquitous
STX7,8417,NA,++,ubiquitous,ubiquitous
STX8,9482,NA,++,ubiquitous,ubiquitous
STXBP1,6812,NA,+++++,ubiquitous,ubiquitous
STXBP2,6813,NA,-,none,none
STXBP4,252983,NA,-,none,none
STXBP5,134957,NA,+++,ubiquitous(5/6),ubiquitous
STXBP6,29091,NA,+++,scattered+ubiquitous,scattered+ubiquitous
SULF1,23213,interneuron,++++,"scattered(4,5/6)","scattered(4,5/6)"
SULF1,23213,interneuron,++++,"scattered(4,5/6)","scattered(4,5/6)"
SULF1,23213,interneuron,++++,"scattered(4,5/6)","scattered(4,5/6)"
SULF1,23213,layer 4,++++,"scattered(4,5/6)","scattered(4,5/6)"
SULF1,23213,layer 4,++++,"scattered(4,5/6)","scattered(4,5/6)"
SULF1,23213,layer 4,++++,"scattered(4,5/6)","scattered(4,5/6)"
SULF1,23213,layer 5,++++,"scattered(4,5/6)","scattered(4,5/6)"
SULF1,23213,layer 5,++++,"scattered(4,5/6)","scattered(4,5/6)"
SULF1,23213,layer 5,++++,"scattered(4,5/6)","scattered(4,5/6)"
SV2A,9900,NA,+++++,scattered+ubiquitous,scattered+ubiquitous
SV2B,9899,NA,+++++,"layer 2/3,4C,5/6",ubiquitous
SV2C,22987,layer 3,++++,scattered(2/3/4),layer 3+scattered
SYN1,6853,NA,+++++,"ubiquitous(2/3,4C,5/6)",ubiquitous
SYN2,6854,NA,+++++,"scattered+ubiquitous(2/3,4C,5,6)","ubiquitous(5,6)"
SYN3,8224,NA,+++,"layer 2/3(4C,6)",layer 2/3(6)
SYNE1,23345,NA,+++++,ubiquitous,ubiquitous
SYNGAP1,8831,NA,++++,"ubiquitous(2/3,4C,6)",ubiquitous
SYNGR1,9145,NA,+++,ubiquitous,ubiquitous
SYNGR2,9144,NA,+,ubiquitous,ubiquitous
SYNGR3,9143,NA,+++,ubiquitous,ubiquitous
SYNGR4,23546,NA,+,ubiquitous,ubiquitous
SYNJ1,8867,NA,+++,"ubiquitous(2/3,4C,5/6)",ubiquitous
SYNJ2,8871,NA,++++,ubiquitous(6),ubiquitous(6)
SYNPO2,171024,NA,+++,ubiquitous(6),ubiquitous(6)
SYNPR,132204,interneuron,++++,layer 6+scattered,layer 6+scattered
SYNPR,132204,interneuron,++++,layer 6+scattered,layer 6+scattered
SYNPR,132204,layer 6,++++,layer 6+scattered,layer 6+scattered
SYNPR,132204,layer 6,++++,layer 6+scattered,layer 6+scattered
SYP,6855,NA,+++++,scattered+ubiquitous,ubiquitous
SYPL1,6856,NA,++,ubiquitous+oligodendrocyte,ubiquitous+oligodendrocyte
SYPL2,284612,NA,+,ubiquitous,ubiquitous
SYT1,6857,NA,+++++,ubiquitous,ubiquitous
SYT10,341359,layer 6,++,sparse(6),sparse(6)
SYT11,23208,NA,+++++,ubiquitous,ubiquitous
SYT12,91683,NA,+++,"layer 2/3,4C,5/6",ubiquitous
SYT13,57586,NA,++++,"ubiquitous(2/3,4C)","ubiquitous(2,3,4)"
SYT14,255928,NA,++,ubiquitous,ubiquitous
SYT15,83849,NA,+++,ubiquitous+VEC?,ubiquitous+VEC?
SYT16,83851,NA,++,"ubiquitous(2/3,4C,5/6)",ubiquitous
SYT17,51760,layer 2,+++,"layer 2/3,5/6",ubiquitous(5)
SYT17,51760,layer 2,+++,"layer 2/3,5/6",ubiquitous(5)
SYT17,51760,layer 2,+++,"layer 2/3,5/6",ubiquitous(5)
SYT17,51760,layer 3,+++,"layer 2/3,5/6",ubiquitous(5)
SYT17,51760,layer 3,+++,"layer 2/3,5/6",ubiquitous(5)
SYT17,51760,layer 3,+++,"layer 2/3,5/6",ubiquitous(5)
